31-10-2021||News||Mind The Gap | Report card: What is it like for girls being back in school?||THE BIG STORY
31-10-2021||Noida||Mihir Bhoj row in Greater Noida: Gurjars say they will not celebrate Diwali||Members of the Gurjar community from different villages on Sunday called a mahapanchayat at the Mihir Bhoj PG College in Greater Noida’s Dadri, and decided to not celebrate Diwali this year.The Gurjar community has been protesting against the alleged removal of their caste’s name from the plaque installed below the statue of king Mihir Bhoj that was inaugurated by Uttar Pradesh chief minister Yogi Adityanath on September 22.On October 2, Gurjar leaders set a October 30 deadline for the Uttar Pradesh government to issue an apology to the community for the alleged removal of word ‘Gurjar’ from the plaque.The mahapanchayat was organised under the banner ‘Gurjar Swabhiman Sangharsh Samiti’, and it was attended by nearly 200 people.Ravindra Bhati, national vice president of Akhil Bhartiya Gurjar Parishad, and convener of the programme, said that members of the Gurjar community are “unhappy” over the turns of events.“The samiti has decided to not celebrate Diwali this year, and we also urge the Gurjar community to boycott the Bharatiya Janata Party (BJP) in the upcoming assembly elections,” Bhati said.After the meeting, the samiti issued a 10-point resolution, including their demand that the Jewar airport be named after King Mihir Bhoj and a huge statue of former Dadri province king Raja Umrao Singh be installed there.In the last few weeks, leaders of the Gurjar community visited different villages to mobilise the people to participate in the programme. However, some Gurjar leaders, who were earlier leading the campaign, were absent at the programme on Sunday.The president of Akhil Bhartiya Veer Gurjar Mahasabha, Gautam Budh Nagar, Shyam Singh Bhati -- who was booked for allegedly smearing black paint on CM Adityanath’s name on the Mihir Bhoj’s plaque on September 28 this year -- said that he did not attend the programme.A row started after some people allegedly removed the word ‘Gurjar’ from the plaque. On September 28, some people also smeared with black paints names of CM Adityanath and other BJP leaders on the plaque in protest. Following the incident, a case was filed against some unknown persons at the local police station and 150 people were booked.Pradeep Tripathi, station house officer, Dadri police station, said that the police allowed the Sunday programme on the condition that only 200 people attend it. “A number of police personnel were deployed at the meeting venue, and the programme went off peacefully,” he said.Vijay Bhati, president of BJP’s Gautam Budh Nagar unit, said that he considered the organisers of the Sunday programme as “political opponents and not the public/voters”. “We have a good relationship with the people, and they will decide whom to vote for,” Bhati said.||https://www.hindustantimes.com/cities/noida-news/mihir-bhoj-row-in-greater-noida-gurjars-say-they-will-not-celebrate-diwali-101635703404955.html
31-10-2021||Chandigarh||Ludhiana man booked for murder bid on brother’s son-in-law||A Dugri resident has been booked for attempt to murder after he attacked his elder brother’s son-in-law over a family dispute near Doraha on Friday night.The accused has been identified as Ashok Setia of Nirmal Nagar, Dugri.Complainant, Lalit Narang of Durgapuri, who is currently hospitalised, said there was a dispute between his wife and the accused, following which they had gone to see a lawyer in Chandigarh. On their way back home, the accused threatened Narang with a sharp-edged weapon and forced him to drive to an abandoned place. On reaching a secluded area, the accused snatched Narang’s phone and assaulted him with the sharp-edged weapon while accusing him of performing witchcraft of the former’s family. After Sethia left the spot, Narang borrowed a phone from a passerby and informed the police.On his complaint, police registered a case under Sections 307 (attempt to murder), 384 (extortion), 324 (voluntarily causing hurt by dangerous weapons or means) and 506 (criminal intimidation) of the Indian Penal Code against the accused. Doraha station house officer, sub-inspector Nachattar Singh said a hunt is on for the accused.||https://www.hindustantimes.com/cities/chandigarh-news/ludhiana-man-booked-for-murder-bid-on-brother-s-soninlaw-101635703344689.html
31-10-2021||Noida||DMRC report suggests 7 Metro stations on route linking Greater Noida with Jewar airport||The Delhi Metro Rail Corporation (DMRC) has in its ‘inception report’ suggested seven stations on a new Metro corridor that will connect Pari Chowk at Greater Noida with the Noida International Airport at Jewar. The DMRC has suggested ‘fewer’ stations so that the travel time can be reduced between the two destinations, said officials. The DMRC has also suggested that the airport at Jewar be connected with Delhi’s Indira Gandhi International airport via New Delhi Metro station instead of Delhi’s Shivaji Stadium, said officials. On September 3 this year, the Yamuna Expressway Industrial Development Authority (Yeida) signed a memorandum of understanding with the DMRC, asking the latter to prepare a feasibility report of a Metro corridor that will provide direct connectivity between Delhi’s Indira Gandhi International Airport and the upcoming Noida International Airport at Jewar, and another corridor connecting Greater Noida to Jewar, said officials aware of the matter. “In its inception report, the DMRC has suggested that there will be only seven Metro stations between Jewar and Greater Noida so that the travel time is less. The DMRC informed us the lines on which they are chalking out the detailed project report that will be completed and submitted in the next three months,” said Arun Vir Singh, CEO of YEIDA.According to the inception report, the first Metro station in the corridor linking Greater Noida with Jewar will be Pari Chowk, followed by Sector Tech Zone, Sector 22-D, Sector 18, Sector 20, Sector 28, the last station being the Noida airport at Jewar. The corridor will be 35.6km long and will run parallel to the Yamuna expressway. According to initial estimates, at least 17,000 passengers can use the Metro facility if the corridor comes up by 2024, around the same time when the Noida airport is also expected to begin operations. The Yeida has given its green signal to the DMRC for changing the alignment of the Metro corridor that will connect Greater Noida with Delhi airport. “In its previous plan, the DMRC suggested that Jewar airport can be connected to IGI airport via Greater Noida and Shivaji Stadium. But now, they want to connect it via New Delhi Metro station and we have approved this plan,” said Singh.“The new Metro corridor from Pari Chowk towards Yamuna bank will be at an elevation and run parallel to the Noida-Greater Noida expressway. The DMRC has suggested an underground corridor for connecting Yamuna Bank to New Delhi Metro station but nothing is final as of now. The New Delhi Metro station is connected with the Express Line that goes till the IGI airport. We will work further on this project only once the feasibility report is submitted,” said Singh.The Yamuna International Airport Private Limited--a special purpose vehicle set up to undertake the Noida International Airport at Jewar--has already started work on the boundary wall and levelling work at the airport that is expected to be ready by 2024. Yeida officials said they are trying to ensure if the Metro link and the Jewar airport can be readied at the same time. They said the financial modalities will be finalised once the project report is ready.The estimated cost of the Noida International Airport is said to be around ₹20,000 crore.||https://www.hindustantimes.com/cities/noida-news/dmrc-report-suggests-7-metro-stations-on-route-linking-greater-noida-with-jewar-airport-101635703225049.html
31-10-2021||Chandigarh||Ludhiana: 20-year-old booked for abducting, raping minor for over a month||A 20-year-old man has been booked for allegedly abducting a minor girl and raping her for over a month, before abandoning her in Mirzapur of Uttar Pradesh.The accused has been identified as Sohail of Kishanganj, Bihar.The FIR has been lodged on the complaint of the 17-year-old victim’s mother. The complainant said the accused lived in their locality and used to visit their house often. Over time, he befriended her daughter. On September 16, the accused abducted the teen on the pretext of marriage and took her to Uttar Pradesh. He raped her for over a month and fled after leaving her in Mirzapur. After that, the teen contacted her family through phone following which they brought her home. The teen initially did not disclose the entire matter to the family but after the accused started threatening her over phone, she confided in them.Following this, the teen’s mother lodged a complaint. Assistant sub-inspector (ASI) Surinderpal Singh, the investigating officer, said a case under Sections 363 (kidnapping), 366-A (procuration of minor girl) and 376 (rape) of the Indian Penal Code has been registered against the accused and a hunt is on for him.||https://www.hindustantimes.com/cities/chandigarh-news/ludhiana-20-year-old-booked-for-abducting-raping-minor-for-over-a-month-101635703105509.html
31-10-2021||Bhopal||2 teachers among 6 held with leopard hide, nails in Madhya Pradesh||Six people, including two teachers, were arrested while they were trying to sell a leopard hide and nails of the animal near Jhabua district in Madhya Pradesh, an official said. Following a tip off, a joint team of the state Tiger Strike Force, Wildlife Crime Control Bureau and Special Task Force (STF) of police on Saturday nabbed the accused from Petlawad-Rajod road in the western part of the state, Principal Chief Conservator of Forest (Wildlife) Alok Kumar said in a statement. A leopard hide and six nails of the feline were seized from their possession, he said, adding that two of those caught are teachers. Six mobile phones, a four-wheel vehicle and two motorbikes used in the illegal trade were also seized from them, he said. A case was registered against the accused under provisions of the Wildlife Protection Act, he said. The accused included four residents of Alirajpur and two from Dhar district, the official said.||https://www.hindustantimes.com/cities/bhopal-news/2-teachers-among-6-held-with-leopard-hide-nails-in-madhya-pradesh-101635702569045.html
31-10-2021||Chandigarh||30 more cases of dengue reported in Ludhiana||As many as 30 cases of dengue cases were reported from the district on Sunday. With this, the total count of confirmed dengue cases in the district has reached 1,228.Of the 30 new cases, 28 were reported from Ludhiana city areas, including MIG Flats, Bahadur Ke Road, Civil Lines, Gill Road, Durgapuri, Haibowal Kalan, Nimwala Chowk, Shimlapuri, Rajguru Nagar, SBS Nagar, and BRS Nagar. Meanwhile, one case each was reported from Sahnewal and Sudhar.According to the daily reports, of total 1,228 total confirmed cases, 926 cases have been reported from the city alone, 48 from Jagraon, 39 from Khanna, 39 from Koom Kalan, 37 from Sahnewal, 31 from Sudhar, 21 from Sidhwan Bet, 19 from Pakhowal, 17 from Manupur, 14 from Malaud, 10 from Hathur, eight from Machhiwara, eight from Samrala, six from Raikot and five from Payal.As of now, a total of 3,060 suspected cases of dengue have been reported in the district this season.At present, around 528 patients are admitted in Ludhiana hospitals, of which 516 are admitted in private hospitals while 12 are in government. So far, 700 patients have been discharged.||https://www.hindustantimes.com/cities/chandigarh-news/30-more-cases-of-dengue-reported-in-ludhiana-101635702744547.html
31-10-2021||Other||Ludhiana: Covid hiatus: Passengers want hot cooked meals in trains again||With the decline in Covid-19 cases and most trains back on track, passengers are demanding resumption of catering services in the trains.The Northern Railways’ Twitter account also received a few requests about the resumption of the cooked food supply. The service was suspended as a measure to contain the spread of the pandemic.A few people also reached out to the railway officials in Ludhiana complaining about the hiatus on catering services imposed by the Indian Railway Catering and Tourism Corporation (IRCTC).“The passengers travelling in luxury trains including Amritsar-Delhi Shatabdi contended that when the trains have resumed, and everything is back on track, the railway should also start serving food included in the cost of the fare,” said a senior railway official here.A Twitter handle, Anand Hindu, criticized the Northern Railways for not serving meals, soup, and snacks in the trains. He ironically suggested the Railways to not spend much on the pantries in the trains as no food is served to the passengers.Naming an airline, he further tweeted that even airlines have started the hot veg meals for domestic economy class passengers, and thus railways should follow the same.Find packed food expensiveFor now, the rail commuters are getting packed food which according to them, is quite expensive.“I don’t see any problem in serving normal hot food in the trains now. The packed food which is not even included in the fare is so expensive. I bought packed vegetarian biryani for ₹155 during my trip from Ludhiana to Delhi in Vande Bharat. The taste and the quantity disappointed me. Railways should resume serving fresh hot meals in the trains now,” said Akshay Salwan, a resident of Nehru Nagar. Tarun Kumar, station director, Ludhiana, said the packed food is served to keep the commuters safe and prevent the spread of Covid-19.“In case the person who is cooking the food in bulk gets Covid, the infection will be transmitted to all the passengers. Thus, packed food is the safest option,” said Kumar.A senior railway official said that the railway minister is soon going to hold a meeting in this regard.||https://www.hindustantimes.com/cities/others/ludhiana-covid-hiatus-passengers-want-hot-cooked-meals-in-trains-again-101635702564552.html
31-10-2021||Delhi||Rain helps Delhi see best air quality in 4 years, even as few areas show concern||Owing to record rainfall in Delhi in October, the national capital has witnessed its best air quality in a single month in four years, news agency PTI reported on Sunday.As reported by Hindustan Times earlier in the day, the city is yet to record a “very poor” air quality index this month. However, forecasters from the India Meteorological Department (IMD) cautioned against the air quality worsening and likely entering the “very poor” category from Sunday onwards. According to data available on the CPCB website, more than four stations of the government agency in the national capital are already experiencing “very poor” air quality. The AQI in Anand Vihar at 9pm on Sunday was 360, in Chandni Chowk at 340, in Jahangirpuri at 377, and in NSIT Dwarka at 338, among other stations.“Wind speeds might slow down from Sunday and this would adversely impact the city’s air quality,” a senior IMD official said.Delhi recorded 87.9mm of rainfall between October 17 and 18 – the fourth highest in a day ever in October, and the highest since 1956, when the national capital received 111mm rain, as per IMD data.The PTI report also mentioned that stubble burning and its share in Delhi’s PM 2.5 pollution remained low owing to heavy rainfall. Typically, air quality in the city starting November commences to deteriorate supremely, systematically reaching to “severe” category every year, due to stubble burning in neighbouring states of Haryana, Punjab and Uttar Pradesh.Also Read | Capital just 30mm rainfall away from eclipsing all-time recordIn October, Delhi has recorded three “satisfactory” AQI days as against none in 2020, four in 2019, and none again in 2018. Moreover, the city witnessed as many as 19 “moderate” AQI days as opposed to six each in 2020, 2019 and 2018. Also, the eight “poor” AQI days the national capital saw this month was the lowest in October in three years.Notably, an AQI from zero and 50 is termed as “good”, 51 and 100 as “satisfactory”, 101 and 200 as “moderate”, 201 and 300 as “poor”, 301 and 400 as “very poor”, and 401 and 500 as “severe”.||https://www.hindustantimes.com/cities/delhi-news/rain-helps-delhi-see-best-air-quality-in-4-years-even-as-few-areas-show-concern-101635701989831.html
31-10-2021||Gurugram||Two-kilometre link between Artemis Road, Brig Osman Chowk to be revamped by December||The Municipal Corporation of Gurugram (MCG) will start reconstructing a key two-kilometre-long internal road linking Artemis Road and Brigadier Osman Chowk (at the sector 56/57 traffic light) from December, officials said on Sunday, a day after the civic body floated a ₹1.88-crore tender for the project.The unnamed stretch is one of the most important arterial roads of the city as it is accessed by thousands of commuters daily, to bypass the busy Golf Course Extension (GCER).The road helps residents of sectors 49, 50, 51 and 52 bypass the traffic on GCER and Vikas Marg, and head directly towards Huda City Centre, Golf Course Road and the Gurgaon-Faridabad Road. Similarly, residents of sectors 42, 43, 53, 54, 55 and 56 (located along the Golf Course Road) use it to head directly towards Artemis Road, Nirvana Country and Vikas Marg, by bypassing the heavily congested GCER.Despite its importance, the road is in a heavily degraded condition and riddled with potholes.“The project essentially involves recarpeting the entire stretch. The bids for the tender will be opened on November 15 and subsequently, a contractor will be selected within 10 days. We are aiming to start and finish the work within December,” Sunder Sheoran, the executive engineer of MCG, who floated the tender on behalf of the civic body, said.Sheoran said that once the project commences on the ground, it will take the contractor around three weeks to complete the work. In the tender, the MCG has given the contractor a maximum period of six months to complete the project from the date of allotment.According to residents, the stretch has degraded further during the recent monsoon season.“The stretch is in dire need of repairs as it is heavily potholed, which results in traffic congestion. Despite its condition, thousands of daily commuters continue to access the stretch as it helps them avoid travelling through busy stretches, such as GCER, and save around 10 minutes of travelling time. If the road is in an optimal condition, it will help commuters save another five minutes of travel time,” Saurabh Vikas, a resident of Sector 57, said.Last week, MCG commissioner Mukesh Kumar Ahuja set a deadline of November 15 for the civic body officials to fix all roads in the city. Last month, Haryana chief minister Manohar Lal Khattar also issued a similar directive to Gurugram’s public agencies, to fix all road stretches damaged during monsoon by November 30.“The MCG aimed to complete the reconstruction project before the November 15 deadline. However, due to technical issues in the original tender, there was a delay and the tender had to be prepared afresh,” a senior MCG official, who did not wish to be named, said.||https://www.hindustantimes.com/cities/gurugram-news/twokilometre-link-between-artemis-road-brig-osman-chowk-to-be-revamped-by-december-101635702208603.html
31-10-2021||Other||Ludhiana: Malakpur dirt track a first in Punjab||To promote the motorcycling sport, a group of local bikers has built Punjab’s first ‘Dirt Park’ in Malakpur, Ludhiana.The park, built on private property, is spread over two acres of land and has been designed by expert riders.A motorcycle sport event, ‘Ludhiana scramble’, was held to mark the inaugural ceremony of the biking track in which over 50 professional bike riders across the north region including, Manali, Chamba, Dehradun, and Chandigarh, competed in three categories including novice, expert, and open bike.The event included a 2-km cross country section and 2.5 laps of the 450m track.Navneet Sangar, a participant from Kurukshetra, who works with an IT company, said, “It is amazing as there is no other such track in Punjab or the neighbouring states. The bikers didn’t have much free space to practice. This will also help make people more aware about this sport.”Another participant, Harpreet Dhiman of Chandigarh, said that it is a dangerous and expensive sport and thus needs proper training.“It is an opportunity for the Ludhiana bikers to avail the benefits and improve their skills,” said Dhiman.||https://www.hindustantimes.com/cities/others/ludhiana-malakpur-dirt-track-a-first-in-punjab-101635702145741.html
31-10-2021||Lucknow||SP MLA quits Uttar Pradesh assembly, blames BJP government for non-cooperation||Samajwadi Party (SP) MLA Rakesh Pratap Singh resigned from the Uttar Pradesh assembly on Sunday and blamed the Bharatiya Janata Party (BJP) government for his step. Singh, who represented Gauriganj (Amethi) in the assembly, alleged that he was not able to address public issues and keep promises made to the people because of the non-cooperation of the state’s BJP government. The resignation did not come as a surprise as he had threatened to quit at a press conference on Saturday. After his resignation on Sunday, he sat on fast at the Mahatma Gandhi statue in Lucknow’s Hazratganj area. “Today, I met speaker of UP legislative assembly Hriday Narayan Dikshit and gave my resignation,” he said to reporters at the dharna spot. Accusing the BJP government of peddling lies, he said that he had raised some public issues with the government which had assured him of fulfilling them but did not actually do so. “I am finding myself incapable of fulfilling my public responsibilities under the present government. Thus, there is no point in my being a member of the present Vidhan Sabha,” he wrote in the one-page resignation letter. Singh also said: “The government is telling lies. Hence, there is no point in sitting in the House. Officials are weakening the democratic system and do not follow the directions of the elected government.” Mentioning the repair of two damaged roads in his constituency, Singh said, “On February 25, the government had assured the House that the damaged roads will be repaired within three months, but the work has not started till now.” “On October 2, I submitted a memorandum to the district magistrate of Amethi that if the repair of the two roads does not start, I will resign from the membership of the UP Legislative Assembly and sit on a fast. Despite this, the work did not start,” he added. Speaker Dikshit told PTI, “MLA Rakesh Pratap Singh met me today and submitted his resignation letter. The matter will be examined as per rules and a decision will be taken.”||https://www.hindustantimes.com/cities/lucknow-news/sp-mla-quits-uttar-pradesh-assembly-blames-bjp-government-for-noncooperation-101635702144517.html
